date,strategy,action,ticker,price,shares,value,reason
2026-06-09,Momentum_AI,BUY,ARM,346.39,2.886919,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,DDOG,231.68,4.316298,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,CRWD,658.79,1.517934,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,ASML,1749.04,0.571742,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,SNOW,240.45,4.158869,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,SMCI,43.99,22.732438,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,TSM,426.8,2.343018,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,NET,247.79,4.035675,1000.0,Topp 10 i Momentum_AI
2026-06-09,Momentum_AI,BUY,MDB,352.56,2.836397,1000.0,Topp 10 i Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,ARM,346.39,2.886919,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,DDOG,231.68,4.316298,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,CRWD,658.79,1.517934,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,TSM,426.8,2.343018,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,ASML,1749.04,0.571742,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,NET,247.79,4.035675,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,SMCI,43.99,22.732438,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,MDB,352.56,2.836397,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,SNOW,240.45,4.158869,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Quality_Momentum_AI,BUY,APP,563.69,1.774025,1000.0,Topp 10 i Quality_Momentum_AI
2026-06-09,Aggressive_AI,BUY,ARM,346.39,2.886919,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,DDOG,231.68,4.316298,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,CRWD,658.79,1.517934,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,SNOW,240.45,4.158869,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,SMCI,43.99,22.732438,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,ASML,1749.04,0.571742,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,NET,247.79,4.035675,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,TSM,426.8,2.343018,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Aggressive_AI,BUY,MDB,352.56,2.836397,1000.0,Topp 10 i Aggressive_AI
2026-06-09,Low_Risk_AI,BUY,ARM,346.39,2.886919,1000.0,Topp 10 i Low_Risk_AI
2026-06-09,Low_Risk_AI,BUY,DDOG,231.68,4.316298,1000.0,Topp 10 i Low_Risk_AI
2026-06-09,Low_Risk_AI,BUY,TSM,426.8,2.343018,1000.0,Topp 10 i Low_Risk_AI
2026-06-09,Low_Risk_AI,BUY,ASML,1749.04,0.571742,1000.0,Topp 10 i Low_Risk_AI
2026-06-09,Low_Risk_AI,BUY,CRWD,658.79,1.517934,1000.0,Topp 10 i Low_Risk_AI
2026-06-09,Balanced_AI,BUY,ARM,346.39,2.886919,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,DDOG,231.68,4.316298,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,CRWD,658.79,1.517934,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,TSM,426.8,2.343018,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,ASML,1749.04,0.571742,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,NET,247.79,4.035675,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,SNOW,240.45,4.158869,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,SMCI,43.99,22.732438,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,MDB,352.56,2.836397,1000.0,Topp 10 i Balanced_AI
2026-06-09,Balanced_AI,BUY,APP,563.69,1.774025,1000.0,Topp 10 i Balanced_AI
